,reference_date,year,month,n_month,Inflow_L1,Inflow_L2_L3,Outflow_L1,Outflow_L2_L3,Target
0,2023-09-30,2023.0,Sep,9.0,,,,,390
1,2023-09-30,2023.0,Sep,9.0,,,,,390
2,2023-09-30,2023.0,Sep,9.0,,,,,390
3,2023-09-30,2023.0,Sep,9.0,,,,,390
4,2023-08-31,2023.0,Aug,8.0,0.0,0.0,1.0,,396
5,2023-08-31,2023.0,Aug,8.0,0.0,1.0,6.0,0.0,396
6,2023-08-31,2023.0,Aug,8.0,7.0,1.0,15.0,0.0,396
7,2023-08-31,2023.0,Aug,8.0,4.0,0.0,15.0,-1.0,396
8,2023-07-31,2023.0,Jul,7.0,0.0,0.0,0.0,0.0,402
9,2023-07-31,2023.0,Jul,7.0,0.0,0.0,14.0,0.0,402
10,2023-07-31,2023.0,Jul,7.0,8.0,4.0,20.0,0.0,402
11,2023-07-31,2023.0,Jul,7.0,4.0,3.0,17.0,0.0,402
12,2023-06-30,2023.0,Jun,6.0,0.0,0.0,0.0,,408
13,2023-06-30,2023.0,Jun,6.0,1.0,1.0,11.0,-2.0,408
14,2023-06-30,2023.0,Jun,6.0,8.0,2.0,28.0,-8.0,408
15,2023-06-30,2023.0,Jun,6.0,3.0,1.0,18.0,-2.0,408
16,2023-05-31,2023.0,May,5.0,0.0,0.0,0.0,-2.0,414
17,2023-05-31,2023.0,May,5.0,2.0,9.0,-1.0,-9.0,414
18,2023-05-31,2023.0,May,5.0,2.0,18.0,0.0,-22.0,414
19,2023-05-31,2023.0,May,5.0,0.0,12.0,0.0,-9.0,414
20,2023-04-30,2023.0,Apr,4.0,0.0,0.0,,,419
21,2023-04-30,2023.0,Apr,4.0,1.0,14.0,-1.0,-5.0,419
22,2023-04-30,2023.0,Apr,4.0,0.0,22.0,-2.0,-23.0,419
23,2023-04-30,2023.0,Apr,4.0,0.0,18.0,-1.0,-7.0,419
24,2023-03-31,2023.0,Mar,3.0,0.0,0.0,,,427
25,2023-03-31,2023.0,Mar,3.0,2.0,15.0,0.0,-5.0,427
26,2023-03-31,2023.0,Mar,3.0,1.0,38.0,0.0,-17.0,427
27,2023-03-31,2023.0,Mar,3.0,2.0,9.0,-2.0,-13.0,427
28,2023-02-28,2023.0,Feb,2.0,0.0,0.0,,,432
29,2023-02-28,2023.0,Feb,2.0,0.0,6.0,0.0,-4.0,432
30,2023-02-28,2023.0,Feb,2.0,1.0,37.0,-5.0,-20.0,432
31,2023-02-28,2023.0,Feb,2.0,2.0,10.0,-2.0,-7.0,432
32,2023-01-31,2023.0,Jan,1.0,1.0,0.0,0.0,-1.0,439
33,2023-01-31,2023.0,Jan,1.0,1.0,11.0,0.0,-6.0,439
34,2023-01-31,2023.0,Jan,1.0,3.0,38.0,0.0,-13.0,439
35,2023-01-31,2023.0,Jan,1.0,2.0,18.0,0.0,-1.0,439
36,2022-12-31,2022.0,Dec,12.0,0.0,0.0,0.0,0.0,383
37,2022-12-31,2022.0,Dec,12.0,1.0,5.0,-2.0,-17.0,383
38,2022-12-31,2022.0,Dec,12.0,1.0,19.0,-4.0,-40.0,383
39,2022-12-31,2022.0,Dec,12.0,1.0,9.0,-1.0,-18.0,383
